Dependiente ,Tipo de fenomeno,Duracion,MUNICIPIOS afectados,ANAL,SPRI,OVSDS,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,area_mun (ha),Sum_POBTOT,R_Inun,R_Hur,R_Des,R_Seq,R_IF,R_Den,a_o,Clave completa(TEXTO)
1,TS,2,38,11.11,30.59,23.5,2.83,25.76,40.97,4.79,91.97,57.49,0.01,Medio,313600.07,69302,3,2,0,3,3,0,2010,32038
0,LLUV,1,38,13.29,38.83,29.92,4.5,29.85,48.22,9.81,92.28,68.55,0.08,Alto,313600.07,69302,3,2,0,3,3,0,2008,32038
1,SEQ,92,37,6.78,33.94,14.71,1.53,6.54,43.58,2.63,69.06,52.62,-0.42,Medio,57981.59,16245,1,1,0,4,1,0,2010,32037
1,BT,1,37,9.07,49.44,35.57,2.45,4.29,58.29,11.13,100,73,-0.17,Medio,57981.59,16245,1,1,0,4,1,0,2002,32037
1,TS,1,37,6.78,33.94,14.71,1.53,6.54,43.58,2.63,69.06,52.62,-0.42,Medio,57981.59,16245,1,1,0,4,1,0,2010,32037
0,SD,1,37,9.07,49.44,35.57,2.45,4.29,58.29,11.13,100,73,-0.17,Medio,57981.59,16245,1,1,0,4,1,0,2002,32037
1,SEQ,10,36,8.85,33.17,11.83,1.77,1.88,47.75,11.14,49.55,57.71,-0.67,Bajo,63799.04,40376,3,2,0,4,3,0,2007,32036
1,SEQ,92,36,6.94,25.99,7.72,1.45,3.41,42.87,5.43,48.82,50.78,-0.7,Bajo,63799.04,40376,3,2,0,4,3,0,2010,32036
1,BT,1,36,10.13,39.92,23.29,2.42,3.95,53.07,12.34,52.51,64.41,-0.65,Medio,63799.04,40376,3,2,0,4,3,0,2002,32036
1,LLUV,3,36,10.13,39.92,23.29,2.42,3.95,53.07,12.34,52.51,64.41,-0.65,Medio,63799.04,40376,3,2,0,4,3,0,2003,32036
0,SD,1,36,10.13,39.92,23.29,2.42,3.95,53.07,12.34,52.51,64.41,-0.65,Medio,63799.04,40376,3,2,0,4,3,0,2002,32036
1,SEQ,10,35,11.61,40.86,14.43,2.62,8.7,47.26,10.66,100,61.35,-0.24,Medio,40419.92,15512,4,2,0,5,3,0,2007,32035
1,BT,1,35,12.33,48.53,29.65,5.78,7.24,51.2,16.7,100,68.47,-0.2,Medio,40419.92,15512,4,2,0,5,3,0,2002,32035
1,SEQ,62,34,10.14,39.64,9.09,1.6,11.6,29.97,4.83,41.51,56.14,-0.82,Bajo,86929.69,27455,1,1,0,2,3,5,2009,32034
1,SEQ,62,33,12.29,45.14,8.14,2.17,12.69,27.97,6.99,100,55.08,-0.51,Medio,53527.23,4402,0,1,1,1,3,0,2009,32033
1,SEQ,62,32,4.1,27.28,2.7,0.7,1.03,37.04,1.67,43.2,49.01,-1.21,Bajo,17897.79,11356,0,1,0,5,1,0,2009,32032
1,SEQ,92,32,2.62,21.69,1.63,0.26,0.9,29.66,1.15,42.56,34.88,-1.36,Muy Bajo,17897.79,11356,0,1,0,5,1,0,2010,32032
1,BT,1,32,3.76,31.26,7.42,0.94,0.81,44.36,1.85,42.5,54.7,-1.26,Bajo,17897.79,11356,0,1,0,5,1,0,2002,32032
1,TS,1,32,2.62,21.69,1.63,0.26,0.9,29.66,1.15,42.56,34.88,-1.36,Muy Bajo,17897.79,11356,0,1,0,5,1,0,2010,32032
