"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
1,9.1,38.11,11.5,8.38,6.75,52.51,8.25,100,49.63,-0.69,382680.44,5239,1,1,0,2,2,0
1,14.91,39.1,6.06,16.15,42.35,65.02,81.89,100,79.03,1.07,37103.9,19046,5,5,5,4,2,0
1,28.8,51.37,9.41,6.93,13.05,63.95,24.97,100,85.86,0.77,9769.63,20618,0,4,5,4,3,0
1,17.15,38.37,31.76,10.34,26.78,48.54,16.67,100,71.7,0.34,19235.16,7960,0,5,3,2,4,0
1,7.4,20.9,1.92,2.68,0.49,45.18,7.52,100,57.41,-0.79,972.97,5678,0,5,0,2,2,0
1,13.7,38.85,23.38,1.85,4.44,56.64,3.77,31.82,70.66,-0.32,31766.88,33883,5,5,0,3,5,0
0,18.1,42.4,9,2.39,54.64,50.01,22.31,77.54,80.34,0.87,56524.66,26937,5,3,0,0,1,0
1,23.17,48.13,11.36,2.46,29.7,48.28,18.94,100,81.5,0.42,14263.4,3777,0,3,3,5,1,5
1,12.39,28.72,11.19,3.04,26.68,40.27,16.54,52.06,55.12,-0.16,23028.72,14925,5,3,0,5,3,0
0,16.47,44.42,2.24,2.01,1.47,51.16,13.2,100,86.12,0.04,9578.6,3404,0,2,0,3,4,0
0,7.58,23.64,2.39,1.11,9.06,39.43,11.5,26.11,52.19,-1.08,6131.38,59658,4,3,0,2,1,5
1,24.75,56.55,2.52,4.92,4.78,66.67,47.35,100,89.49,0.87,9443.41,10168,0,4,5,2,3,5
1,13.13,39.58,8.23,2.92,15.3,36.97,17.57,100,62.52,-0.28,4972.36,5149,5,3,0,2,0,0
0,11.92,33.92,21.3,4.77,1.52,60,10.72,72.02,52.48,-0.67,32060.9,63681,4,1,0,4,2,0
0,16.61,39.95,9.68,2.77,73.29,59.55,31.69,75.03,85.05,0.63,38700.61,26079,5,3,0,0,2,0
0,48.28,65.6,71.32,5.1,65.71,75.44,73.97,100,72.28,2.4,22668.9,12236,0,4,4,5,1,5
0,4.8,18.88,2.06,2.39,1.75,35.1,3.66,5.95,45.66,-1.71,30221.77,267285,4,1,0,5,3,0
1,2.92,21.28,2.65,1.87,2.04,36.59,5.44,9.92,36.57,-1.75,124571.27,29221,2,1,0,2,3,0
0,19.49,46.83,5.45,2.1,16.7,63.97,18.99,67.57,83.59,0.29,36033.46,32610,1,5,3,2,3,0
0,7.55,27.48,18.64,2.54,11.35,48.8,5.66,53.99,48.6,-1.05,35098.19,80407,1,1,0,2,3,0
0,21.03,48.26,11.74,3,57.72,57.5,26.33,77.76,85.05,0.68,56524.66,26937,5,3,0,0,1,0
1,4.8,27.64,2.25,2.59,2.06,35.52,6.76,5.67,46.9,-1.57,141592.04,5196,2,1,0,2,3,0
0,3.88,14.37,0.28,0.14,1.12,31.18,3,1.06,37.16,-1.73,3780.77,138041,4,1,0,3,1,0
1,14.18,46.52,1.86,8.82,19.96,49.13,24.17,65.83,63.51,-0.03,304287.86,27394,2,1,1,2,3,0
0,7.44,28.02,4.3,0.47,10.86,45.29,9.69,50.6,54.88,-0.84,290974.27,284592,3,2,0,5,1,0
0,16.47,54.23,21.77,21.28,79.64,71.47,38.95,100,90.89,1.02,106498.37,17721,5,2,1,1,2,0
0,3.22,18.94,1.74,0.72,4.56,36.89,0.9,17.59,33.33,-1.57,63666.05,8032,1,1,0,2,2,0
1,19.68,47.71,6.15,3.63,32.95,56.4,19.28,59.67,74.58,0.23,123002.74,41634,5,2,1,0,1,0
0,2.11,10.8,0.83,0.72,1.93,31.27,4.72,4.13,19.24,-1.77,1692695.41,780817,4,2,0,4,3,0
1,16.13,31.04,1.38,4.04,41.45,52.57,27.59,74.63,61.64,0.42,34975.53,96425,5,5,4,4,3,0
1,8.04,23.65,2.91,0.87,8.46,41.89,4.52,100,50.3,-0.57,59179.84,36377,3,1,0,2,2,0
1,13.7,38.85,23.38,1.85,4.44,56.64,3.77,31.82,70.66,-0.32,31766.88,33883,5,5,0,3,5,0
0,12.65,41.28,4.56,11.94,13.71,54.44,25.33,27.42,72.83,-0.48,69126.94,41208,5,5,0,4,1,0
1,18.1,53.63,12.5,3.21,4.91,67.52,5.97,34.17,81.65,0.14,54141.64,8430,5,5,0,2,4,0
1,12.14,24.5,2.87,1.12,4.1,49.24,6.81,71.59,54.1,-0.75,53392.05,115049,4,1,0,2,1,0
0,19.08,37.65,21.31,6.23,23.52,52.49,24.48,57.36,62.19,0.06,284611.71,60652,2,5,1,3,3,0
0,6.51,20.35,8.29,2.3,10.67,38.26,4.62,29.71,35.74,-1.27,100504.27,171216,1,1,1,5,1,0
1,16.53,42.21,11.21,5.85,23.35,41.74,25.53,100,62.15,0.04,10247.97,4577,5,3,0,2,1,0
1,14.67,30.69,25.18,7.41,8.47,61.87,5.82,32.7,63.09,-0.27,126557.04,28274,4,2,0,3,5,0
1,14.39,37.43,7.06,2.38,23.21,49.73,7.58,40,75.47,-0.29,81176.07,39000,5,5,0,4,1,0
0,3.93,14.99,0.55,0.41,7.1,33.24,5.04,7.2,37.7,-1.61,24574.52,551926,4,3,0,4,1,0
0,6.86,19.27,1.56,1.18,2.64,31.53,9.19,18.02,38.07,-1.46,54854.06,467488,4,1,0,5,2,5
1,13.15,48.71,10.59,3.85,0.65,37.78,11.39,100,52.49,-0.35,19747.81,1346,3,1,0,1,1,0
0,7.44,28.02,4.3,0.47,10.86,45.29,9.69,50.6,54.88,-0.84,290974.27,284592,3,2,0,5,1,0
1,27.81,51.28,11.44,8.47,36.16,61.5,32.55,100,83.48,0.94,17856.52,18158,1,3,5,4,2,0
1,26.76,59.86,22.99,12.99,9.62,63.75,32.54,100,85.88,0.57,34048.94,8349,1,2,3,2,3,5
1,23.23,48.89,5.09,13.17,42,60.35,19.05,100,82.55,0.77,5435.25,5397,0,5,5,4,3,5
1,14.09,38.01,2.82,1.72,3.37,51.62,6.48,54.88,68.33,-0.45,10772.9,20190,3,4,2,2,1,5
0,3.17,10.95,0.32,0.22,2.56,24.33,2.35,4.8,26.27,-1.81,19876.84,365101,0,1,1,3,1,5
0,4.46,21.47,6.4,1.35,4.32,35.08,3.56,21.47,39.55,-1.66,80829.23,159550,1,1,0,5,3,0
1,19.48,45.26,5.49,3.5,9.62,54.87,18.54,100,74.24,0.65,940.18,2127,0,5,0,2,1,5
0,14.32,39.1,3.4,9.27,66.47,48.95,22.74,100,73.32,0.39,52686.62,24342,5,5,2,3,3,0
0,7.72,44.04,1.81,1.06,7.45,20.4,1.67,100,44.03,-0.92,1166271.47,1399,0,1,0,2,2,0
1,18.45,39.52,6.28,6.36,5.5,39.38,2.51,100,73.83,0.18,61723.69,2607,0,1,0,2,3,0
0,12.37,36.96,3.49,4.02,35.65,49.53,27.83,59.12,67.54,-0.1,51971.12,62469,5,5,2,3,2,0
1,41.93,59.27,14.38,12.66,30.24,78,62.81,100,91.55,1.82,40248.77,31601,1,4,5,2,3,5
0,14.11,50.04,33.34,19.09,39.2,49.63,18.54,100,78.79,0.28,1198760.07,17354,1,1,1,2,3,0
1,20.43,34.52,20.56,4.88,3.24,45.61,21.02,100,69.27,0.01,58871.47,18410,2,5,2,2,3,0
1,8.47,30.54,4.68,4.3,4.82,55.61,22.95,48.2,54.71,-0.56,137464.15,13637,2,1,0,2,1,0
1,19.43,46.66,6.46,5.23,34.38,61.51,23.89,100,74.59,0.5,9689.55,8182,0,3,2,2,1,0
0,2.99,19.34,1.32,0.55,5.54,27.51,0.69,19.89,23.38,-1.76,359859.36,153495,4,1,1,5,3,0
0,13.03,33.03,1.8,7.49,35.95,51.03,62.98,78.64,75.65,0.34,19057.69,33028,5,5,4,5,2,0
1,4.41,17.55,4.43,2,1.76,40.47,13.37,13.63,32.19,-1.43,791572.67,148143,2,1,1,4,2,0
0,14.68,41.07,7,18.31,48,57.25,64.64,80.04,81.41,0.39,19057.69,33028,5,5,4,5,2,0
0,9.11,22.49,2.55,1.29,6.92,35.46,12.55,44.24,45.29,-0.82,23753.43,48736,2,3,1,5,2,0
1,16.01,46.18,4.22,0.5,0.9,33.31,4.71,74.3,70.3,-0.47,21795.78,25542,5,3,0,5,2,5
1,12.33,48.53,29.65,5.78,7.24,51.2,16.7,100,68.47,-0.2,40419.92,15512,4,2,0,5,3,0
0,15.01,40.33,18.57,1.57,3.34,50.83,11.55,67.07,63.16,-0.27,61028.62,83753,5,2,0,5,2,5
1,17.83,42.53,32.31,25.99,42.81,71.01,31.57,81.28,85.28,1.96,172532.88,36093,0,2,3,4,4,5
1,18.9,36.09,37.06,2.5,31.57,56.92,38.59,73.74,71.16,0.45,181323.09,73165,3,5,1,4,4,0
1,14.51,39.65,18.75,1.48,7.89,58.13,1.31,0,77.57,-0.37,10057.05,6787,5,5,0,3,5,0
0,23.08,48.76,12.98,9.91,44.43,38.82,14.33,100,67.32,0.37,34611.46,5417,4,1,0,3,1,0
0,3.39,13.77,0.28,0.11,0.51,36.8,1.15,0.03,43.07,-1.87,9562.06,727019,0,1,1,5,1,0
1,12.12,40.51,1.87,4.63,4.92,49.06,10.74,45.9,56.88,-0.54,320791.31,42410,4,2,0,3,3,0
